net	condition	timestep	distance
0	0	0	0.30660972
0	1	0	0.25201443
0	2	0	0.26208103
0	0	1	0.29694778
0	1	1	0.25350216
0	2	1	0.25595194
0	0	2	0.30483013
0	1	2	0.27239925
0	2	2	0.2693694
0	0	3	0.31412926
0	1	3	0.29288188
0	2	3	0.2886796
0	0	4	0.31859073
0	1	4	0.30808687
0	2	4	0.30484465
0	0	5	0.31637478
0	1	5	0.31476843
0	2	5	0.3141044
0	0	6	0.30767652
0	1	6	0.31146765
0	2	6	0.3147986
0	0	7	0.29308453
0	1	7	0.29833716
0	2	7	0.30679375
0	0	8	0.27491742
0	1	8	0.27880114
0	2	8	0.2929062
0	0	9	0.25618443
0	1	9	0.2570793
0	2	9	0.2765211
0	0	10	0.23958606
0	1	10	0.23704627
0	2	10	0.2611598
0	0	11	0.22679813
0	1	11	0.2208416
0	2	11	0.24849562
0	0	12	0.21782054
0	1	12	0.2090689
0	2	12	0.23897228
0	0	13	0.2118414
0	1	13	0.20081927
0	2	13	0.23232195
0	0	14	0.20783423
0	1	14	0.19595712
0	2	14	0.22874643
0	0	15	0.20502554
0	1	15	0.19368736
0	2	15	0.22747754
0	0	16	0.20345582
0	1	16	0.19297038
0	2	16	0.22774276
0	0	17	0.20223448
0	1	17	0.19400835
0	2	17	0.23000923
0	0	18	0.20158052
0	1	18	0.19570245
0	2	18	0.23326963
0	0	19	0.20088385
0	1	19	0.1990063
0	2	19	0.23841977
0	0	20	0.20082687
0	1	20	0.20314682
0	2	20	0.24489228
0	0	21	0.20119691
0	1	21	0.2084421
0	2	21	0.25294197
1	0	0	0.29701766
1	1	0	0.34832525
1	2	0	0.32895073
1	0	1	0.2685009
1	1	1	0.32502767
1	2	1	0.30478838
1	0	2	0.25830472
1	1	2	0.32243815
1	2	2	0.30641285
1	0	3	0.26352304
1	1	3	0.33654588
1	2	3	0.32223082
1	0	4	0.2713069
1	1	4	0.35318923
1	2	4	0.34070894
1	0	5	0.27288893
1	1	5	0.36125705
1	2	5	0.35172376
1	0	6	0.266027
1	1	6	0.35698858
1	2	6	0.35160676
1	0	7	0.25232565
1	1	7	0.3422315
1	2	7	0.34210476
1	0	8	0.23363139
1	1	8	0.3205882
1	2	8	0.32545406
1	0	9	0.2140108
1	1	9	0.29571825
1	2	9	0.30554196
1	0	10	0.1964614
1	1	10	0.27158162
1	2	10	0.28621915
1	0	11	0.18255582
1	1	11	0.2513568
1	2	11	0.2706587
1	0	12	0.17359889
1	1	12	0.23756519
1	2	12	0.26067573
1	0	13	0.16944306
1	1	13	0.23025301
1	2	13	0.25655696
1	0	14	0.16966231
1	1	14	0.22845979
1	2	14	0.25735945
1	0	15	0.17255223
1	1	15	0.23062398
1	2	15	0.26125255
1	0	16	0.1766533
1	1	16	0.23491366
1	2	16	0.2672562
1	0	17	0.18136914
1	1	17	0.24037097
1	2	17	0.27491462
1	0	18	0.18578264
1	1	18	0.24685267
1	2	18	0.28244463
1	0	19	0.18990208
1	1	19	0.25313786
1	2	19	0.2905737
1	0	20	0.1942473
1	1	20	0.25953352
1	2	20	0.29882696
1	0	21	0.19804259
1	1	21	0.26585054
1	2	21	0.3073366
2	0	0	0.37033087
2	1	0	0.35911453
2	2	0	0.35188067
2	0	1	0.3514331
2	1	1	0.35320166
2	2	1	0.3442783
2	0	2	0.34419346
2	1	2	0.34451666
2	2	2	0.33342654
2	0	3	0.33572328
2	1	3	0.33675155
2	2	3	0.32227507
2	0	4	0.32374686
2	1	4	0.32933596
2	2	4	0.31111467
2	0	5	0.30610123
2	1	5	0.31684256
2	2	5	0.2965637
2	0	6	0.28274915
2	1	6	0.2970265
2	2	6	0.27729213
2	0	7	0.25459945
2	1	7	0.2713784
2	2	7	0.25447735
2	0	8	0.22551747
2	1	8	0.24404256
2	2	8	0.2314034
2	0	9	0.1979769
2	1	9	0.21750826
2	2	9	0.20991449
2	0	10	0.17427342
2	1	10	0.19263212
2	2	10	0.19070956
2	0	11	0.15491116
2	1	11	0.17130871
2	2	11	0.17444575
2	0	12	0.14164741
2	1	12	0.15416774
2	2	12	0.1623928
2	0	13	0.13310657
2	1	13	0.14251064
2	2	13	0.15404412
2	0	14	0.128335
2	1	14	0.13648053
2	2	14	0.14968866
2	0	15	0.12542108
2	1	15	0.13394408
2	2	15	0.14843193
2	0	16	0.12398173
2	1	16	0.13373996
2	2	16	0.14860813
2	0	17	0.12338004
2	1	17	0.13481945
2	2	17	0.14940858
2	0	18	0.123419456
2	1	18	0.13587978
2	2	18	0.1511015
2	0	19	0.12413405
2	1	19	0.13795425
2	2	19	0.15346487
2	0	20	0.1252289
2	1	20	0.14079663
2	2	20	0.15659593
2	0	21	0.12690791
2	1	21	0.14415139
2	2	21	0.16021074
3	0	0	0.28446445
3	1	0	0.2959714
3	2	0	0.24145499
3	0	1	0.26848036
3	1	1	0.29419252
3	2	1	0.23677024
3	0	2	0.28163993
3	1	2	0.31591153
3	2	2	0.24899286
3	0	3	0.30491588
3	1	3	0.3491489
3	2	3	0.27035716
3	0	4	0.3286974
3	1	4	0.38567898
3	2	4	0.29616925
3	0	5	0.34544784
3	1	5	0.41342342
3	2	5	0.3193598
3	0	6	0.35058907
3	1	6	0.42251384
3	2	6	0.3325274
3	0	7	0.34213075
3	1	7	0.41013226
3	2	7	0.33187762
3	0	8	0.32354742
3	1	8	0.3816068
3	2	8	0.32018483
3	0	9	0.3030545
3	1	9	0.34998226
3	2	9	0.30502063
3	0	10	0.28753462
3	1	10	0.32658687
3	2	10	0.29400513
3	0	11	0.28007826
3	1	11	0.31503057
3	2	11	0.28966805
3	0	12	0.27909976
3	1	12	0.3126477
3	2	12	0.2911261
3	0	13	0.2824855
3	1	13	0.31545138
3	2	13	0.29509538
3	0	14	0.28673616
3	1	14	0.3204578
3	2	14	0.30038294
3	0	15	0.2913071
3	1	15	0.32577494
3	2	15	0.30605865
3	0	16	0.29539827
3	1	16	0.3315637
3	2	16	0.31134087
3	0	17	0.29940897
3	1	17	0.3367198
3	2	17	0.31596655
3	0	18	0.30307934
3	1	18	0.3417274
3	2	18	0.32042852
3	0	19	0.30662137
3	1	19	0.34661412
3	2	19	0.32521072
3	0	20	0.31023178
3	1	20	0.35145473
3	2	20	0.3294995
3	0	21	0.31399044
3	1	21	0.35680705
3	2	21	0.33413133
4	0	0	0.39913854
4	1	0	0.34336743
4	2	0	0.26075998
4	0	1	0.35630333
4	1	1	0.32298163
4	2	1	0.25070792
4	0	2	0.34118548
4	1	2	0.3262784
4	2	2	0.25691932
4	0	3	0.34625998
4	1	3	0.34107625
4	2	3	0.2706277
4	0	4	0.35469687
4	1	4	0.35589615
4	2	4	0.2841124
4	0	5	0.35572425
4	1	5	0.36377335
4	2	5	0.29277897
4	0	6	0.34597388
4	1	6	0.36013532
4	2	6	0.29331088
4	0	7	0.3276073
4	1	7	0.34581783
4	2	7	0.28609315
4	0	8	0.3057188
4	1	8	0.32709166
4	2	8	0.2751862
4	0	9	0.2840012
4	1	9	0.31011763
4	2	9	0.26367784
4	0	10	0.26517934
4	1	10	0.29685882
4	2	10	0.25431105
4	0	11	0.25018948
4	1	11	0.2874824
4	2	11	0.24688436
4	0	12	0.23933733
4	1	12	0.28124923
4	2	12	0.24169233
4	0	13	0.23143685
4	1	13	0.27606234
4	2	13	0.23792371
4	0	14	0.22516435
4	1	14	0.2713746
4	2	14	0.23466618
4	0	15	0.22106782
4	1	15	0.2672099
4	2	15	0.23206908
4	0	16	0.21734923
4	1	16	0.26351964
4	2	16	0.23013817
4	0	17	0.21514568
4	1	17	0.26014033
4	2	17	0.22933815
4	0	18	0.21450722
4	1	18	0.25838593
4	2	18	0.22953114
4	0	19	0.21557367
4	1	19	0.25816503
4	2	19	0.2313954
4	0	20	0.2187305
4	1	20	0.2608783
4	2	20	0.23558107
4	0	21	0.22430658
4	1	21	0.2658853
4	2	21	0.24251619
5	0	0	0.36921635
5	1	0	0.34229088
5	2	0	0.3024147
5	0	1	0.37641945
5	1	1	0.35407612
5	2	1	0.30692002
5	0	2	0.38757062
5	1	2	0.37326935
5	2	2	0.32736468
5	0	3	0.39336726
5	1	3	0.38101318
5	2	3	0.34311983
5	0	4	0.38860404
5	1	4	0.37749967
5	2	4	0.35038662
5	0	5	0.37181735
5	1	5	0.3646714
5	2	5	0.34814793
5	0	6	0.34336185
5	1	6	0.34264934
5	2	6	0.3352113
5	0	7	0.30924985
5	1	7	0.3149772
5	2	7	0.31497386
5	0	8	0.27863255
5	1	8	0.29106066
5	2	8	0.2962931
5	0	9	0.25797567
5	1	9	0.27790153
5	2	9	0.2866724
5	0	10	0.24828774
5	1	10	0.2755073
5	2	10	0.2860457
5	0	11	0.2469929
5	1	11	0.2780724
5	2	11	0.2903579
5	0	12	0.24990533
5	1	12	0.28136957
5	2	12	0.29595226
5	0	13	0.25407204
5	1	13	0.283201
5	2	13	0.30020174
5	0	14	0.2571039
5	1	14	0.28293988
5	2	14	0.3027658
5	0	15	0.25825083
5	1	15	0.2806072
5	2	15	0.30268285
5	0	16	0.25708786
5	1	16	0.27613997
5	2	16	0.3001106
5	0	17	0.25335452
5	1	17	0.27040145
5	2	17	0.29635262
5	0	18	0.24767219
5	1	18	0.26484272
5	2	18	0.2923287
5	0	19	0.24103718
5	1	19	0.26098794
5	2	19	0.28957978
5	0	20	0.23451734
5	1	20	0.25925922
5	2	20	0.28874004
5	0	21	0.22937976
5	1	21	0.25969937
5	2	21	0.2907085
6	0	0	0.37255552
6	1	0	0.34556773
6	2	0	0.32170114
6	0	1	0.31568694
6	1	1	0.3209082
6	2	1	0.2923392
6	0	2	0.30003023
6	1	2	0.32534492
6	2	2	0.28802493
6	0	3	0.30011803
6	1	3	0.33889255
6	2	3	0.29689988
6	0	4	0.3047704
6	1	4	0.35128266
6	2	4	0.31071758
6	0	5	0.3091829
6	1	5	0.35701126
6	2	5	0.32247996
6	0	6	0.30804303
6	1	6	0.35246003
6	2	6	0.3273286
6	0	7	0.29915562
6	1	7	0.3361314
6	2	7	0.3215543
6	0	8	0.2831581
6	1	8	0.31178486
6	2	8	0.30627105
6	0	9	0.2636225
6	1	9	0.28445584
6	2	9	0.28642955
6	0	10	0.24519897
6	1	10	0.26137114
6	2	10	0.26778176
6	0	11	0.22961055
6	1	11	0.245278
6	2	11	0.25300354
6	0	12	0.21780133
6	1	12	0.23566858
6	2	12	0.24230169
6	0	13	0.2092972
6	1	13	0.23027854
6	2	13	0.2356637
6	0	14	0.20205449
6	1	14	0.22726114
6	2	14	0.23223084
6	0	15	0.19706206
6	1	15	0.22371596
6	2	15	0.22961056
6	0	16	0.19298428
6	1	16	0.22213583
6	2	16	0.22881682
6	0	17	0.18948008
6	1	17	0.22020379
6	2	17	0.22842926
6	0	18	0.18676801
6	1	18	0.21891476
6	2	18	0.22869651
6	0	19	0.18466285
6	1	19	0.21785979
6	2	19	0.22938725
6	0	20	0.18288994
6	1	20	0.21690206
6	2	20	0.23053989
6	0	21	0.18165463
6	1	21	0.21664265
6	2	21	0.23211528
7	0	0	0.34088978
7	1	0	0.34343418
7	2	0	0.2858759
7	0	1	0.3089411
7	1	1	0.3428645
7	2	1	0.2766698
7	0	2	0.301956
7	1	2	0.3523018
7	2	2	0.2835757
7	0	3	0.30741483
7	1	3	0.36659095
7	2	3	0.29719102
7	0	4	0.3166243
7	1	4	0.3827243
7	2	4	0.3120528
7	0	5	0.32302645
7	1	5	0.39440408
7	2	5	0.32233343
7	0	6	0.32247528
7	1	6	0.39551675
7	2	6	0.3241217
7	0	7	0.31397292
7	1	7	0.38419822
7	2	7	0.31739333
7	0	8	0.29838455
7	1	8	0.36344835
7	2	8	0.304011
7	0	9	0.27895504
7	1	9	0.33953786
7	2	9	0.28724203
7	0	10	0.25887007
7	1	10	0.3159178
7	2	10	0.2704827
7	0	11	0.2408925
7	1	11	0.29565352
7	2	11	0.25535083
7	0	12	0.22518758
7	1	12	0.27912694
7	2	12	0.24327931
7	0	13	0.2122063
7	1	13	0.26596427
7	2	13	0.23379472
7	0	14	0.20200497
7	1	14	0.25585544
7	2	14	0.2272394
7	0	15	0.19414514
7	1	15	0.2491351
7	2	15	0.22299941
7	0	16	0.1884389
7	1	16	0.24437983
7	2	16	0.2203021
7	0	17	0.18416163
7	1	17	0.24159192
7	2	17	0.21905991
7	0	18	0.18084037
7	1	18	0.24077624
7	2	18	0.21956022
7	0	19	0.17794046
7	1	19	0.24049976
7	2	19	0.22066331
7	0	20	0.17569636
7	1	20	0.240371
7	2	20	0.22247039
7	0	21	0.17318442
7	1	21	0.24130355
7	2	21	0.22468314
8	0	0	0.28539398
8	1	0	0.29773235
8	2	0	0.26509798
8	0	1	0.28110975
8	1	1	0.29785976
8	2	1	0.26808625
8	0	2	0.29051292
8	1	2	0.31764242
8	2	2	0.29171717
8	0	3	0.30639023
8	1	3	0.344395
8	2	3	0.32086328
8	0	4	0.31851014
8	1	4	0.36511186
8	2	4	0.3438869
8	0	5	0.31960163
8	1	5	0.37043336
8	2	5	0.35141724
8	0	6	0.30888897
8	1	6	0.35806784
8	2	6	0.34272397
8	0	7	0.29107016
8	1	7	0.33420646
8	2	7	0.32517192
8	0	8	0.2725916
8	1	8	0.30893943
8	2	8	0.3063742
8	0	9	0.25640067
8	1	9	0.28768274
8	2	9	0.29037833
8	0	10	0.2432776
8	1	10	0.27161086
8	2	10	0.2778264
8	0	11	0.23312783
8	1	11	0.25906813
8	2	11	0.26808327
8	0	12	0.22525454
8	1	12	0.25016648
8	2	12	0.26157942
8	0	13	0.21958376
8	1	13	0.24422678
8	2	13	0.25745925
8	0	14	0.21607684
8	1	14	0.2413733
8	2	14	0.25536424
8	0	15	0.21448207
8	1	15	0.24119449
8	2	15	0.25612423
8	0	16	0.21454467
8	1	16	0.2433652
8	2	16	0.2586661
8	0	17	0.21619946
8	1	17	0.24693824
8	2	17	0.2630704
8	0	18	0.21912998
8	1	18	0.25203994
8	2	18	0.26907215
8	0	19	0.22278343
8	1	19	0.25805506
8	2	19	0.27584094
8	0	20	0.22717306
8	1	20	0.26483506
8	2	20	0.2836371
8	0	21	0.23157206
8	1	21	0.27200758
8	2	21	0.29204392
9	0	0	0.35799128
9	1	0	0.38594922
9	2	0	0.361845
9	0	1	0.3156634
9	1	1	0.3567293
9	2	1	0.33902487
9	0	2	0.30338895
9	1	2	0.34211427
9	2	2	0.33084965
9	0	3	0.3002484
9	1	3	0.33537966
9	2	3	0.33113027
9	0	4	0.29748923
9	1	4	0.3268036
9	2	4	0.3321781
9	0	5	0.29098433
9	1	5	0.31328174
9	2	5	0.3280371
9	0	6	0.2826761
9	1	6	0.2977879
9	2	6	0.32066196
9	0	7	0.27432343
9	1	7	0.2832618
9	2	7	0.31226385
9	0	8	0.266738
9	1	8	0.2703523
9	2	8	0.30473405
9	0	9	0.26006427
9	1	9	0.25928736
9	2	9	0.2981035
9	0	10	0.2545604
9	1	10	0.25114653
9	2	10	0.29319507
9	0	11	0.25055388
9	1	11	0.24599324
9	2	11	0.29004264
9	0	12	0.24815509
9	1	12	0.24389318
9	2	12	0.28836408
9	0	13	0.24735275
9	1	13	0.2436911
9	2	13	0.28923938
9	0	14	0.2480518
9	1	14	0.2453972
9	2	14	0.29110837
9	0	15	0.24981187
9	1	15	0.24829102
9	2	15	0.29434025
9	0	16	0.25291437
9	1	16	0.25120375
9	2	16	0.29834718
9	0	17	0.2568586
9	1	17	0.2546778
9	2	17	0.30299076
9	0	18	0.2611426
9	1	18	0.25842008
9	2	18	0.30765352
9	0	19	0.2653623
9	1	19	0.26175445
9	2	19	0.3123561
9	0	20	0.2696414
9	1	20	0.264561
9	2	20	0.3171635
9	0	21	0.27378982
9	1	21	0.26766288
9	2	21	0.3227947
